"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт агробизнеса 1 курс",column_1,column_2,column_3
Дни,Часы,М-Э-ПЭ-101 09.02.2026,М-БИ-101 02.02.2026
"к
и
н
ь
л
де
не
о
П",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,лек. ЭКОН. ОЦЕНКА ИНВЕСТИЦ. ПРИВЛЕКАТЕЛЬНОСТИ АГРОБИЗНЕСА проф. Лявина М.Ю 243,
,,лек. ЭКОНОМИЧЕСКАЯ ОЦЕНКА ЧЕЛОВЕЧЕСКОГО КАПИТАЛА проф. Родионова И.А. 243,
,15.20-16.50,"пр.з. Экономическая оценка инвестиционной привлекательности агробизнеса
Лявина М.Ю. 243",лек. ИМИТАЦИОННОЕ МОДЕЛИРОВАНИЕ В ЦИФРОВЫХ СРЕДАХ доц. Слепцова Л.А. 134 к
,,,пр.з. Имитационное моделирование в цифровых средах Слепцова Л.А. 134 к
,17.00-18.30,,"пр.з. Имитационное моделирование в цифровых средах
Слепцова Л.А. 134 к"
"к
и
н
р
о
т
В",8.30-10.00,,
,10.10-11.40,"пр.з. Анализ отраслевых рынков и конкурентная политика
Лявина М.Ю. 519",
,12.00-13.30,"пр.з. Аграрная экономика
Лявина М.Ю. 519","лек. ТЕХНОЛОГИЯ ЭФФЕКТИВНОГО МЕНЕДЖМЕНТА
доц. Котар О.К. 316 / 345"
,13.40-15.10,,"пр.з. Технология эффективного менеджмента
Вельмякин А.А. 351"
,15.20-16.50,,пр.з. Стратегический менеджмент Александрова Л.А. 316
,,,лек.. СТРАТЕГИЧЕСКИЙ МЕНЕДЖМЕНТ проф. Александрова Л.А. 345
"а
д
ре
С",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,лек.. СТРАТЕГИЧЕСКИЙ МЕНЕДЖМЕНТ проф. Александрова 345,
,,,
,13.40-15.10,пр.з. Стратегический менеджмент Богомолов 341,
,,,
,15.20-16.50,,
"рг
ве
т
Че",8.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,лек. ФИЛОСОФИЯ ПОЗНАНИЯ проф.. Дудникова Е.Б. 294
,,,пр.з. Философия познания Дудникова Е.Б. 294
,13.40-15.10,,переход на УК 2
,15.20-16.50,,"лек. СИСТЕМЫ ПОДДЕРЖКИ ПРИНЯТИЯ РЕШЕНИЙ
доц. Косарев А.В. 529 УК 2"
,17.00-18.30,,лек. УПРАВЛЕНИЕ ЦИФРОВЫМИ ПЛАТФОРМАМИ доц. Косарев А.В. 529 УК 2
,,,пр.з. Системы поддержки принятия решения и рекомендательные системы Косарев А.В. 529 УК 2
"а
ц
и
н
т
я
П
а",8.30-10.00,,
,10.10-11.40,,
,,лек. АНАЛИЗ ОТРАСЛЕВЫХ РЫНКОВ И КОНКУРЕНТНАЯ ПОЛИТИКА проф. Лявина МЮ. 519,
,12.00-13.30,"пр.з. Экономическая оценка человеческого капитала
Родионова И.А. 519",
,13.40-15.10,"лек. БЮДЖЕТИРОВАНИЕ НА ПРЕДПРИЯТИЯХ АПК
доц. Новоселова С.А. 519",
,,,пр.з. Системы поддержки принятия решения и рекомендательные системы Косарев А.В. 113 УК 2
,15.20-16.50,"пр.з. Бюджетирование на предприятиях АПК
Новоселова С.А. 519",пр.з. Системы поддержки принятия решения и рекомендательные системы Косарев А.В. 522 УК 2
,,,пр.з. Управление цифровыми платформами и экосистемами современного бизнеса Косарев А.В. 522 УК 2
,17.00-18.30,,"пр.з. Управление цифровыми платформами и экосистемами современного бизнеса
Косарев А.В. 522 УК 2"
"т
о
б
б
у
С",8.30-10.00,,
,10.10-11.40,,
,,,
