"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт генетики и агрономии 2 курс",column_1,column_2,column_3,column_4,column_5
Дни,Часы,Б-А-201 26.01.2026,Б-А-202 26.01.2026,Б-А-203 26.01.2026,Б-АиА-201 26.01.2026
"к
и
н
ь
л
е
д
е
н
о
П",8.30-10.00,,"лек. ЭНТОМОЛОГИЯ
доц. Критская Е.Е. 424",лек.СИСТЕМА СЕВООБОРОТОВ В СЕМ-ВЕ доц.Линьков А.С. 610,
,,,,"лаб.з. Система севооборотов в семеноводстве Преймак, Линьков 608, 610",
,10.10-11.40,"пр.з. Правоведение
Паницков А.С. 452","лаб. Энтомология
Критская Е.Е., Руденко А.С. 424","лек.ПРЕПАРИРОВАНИЕ БИОЛОГИЧЕСКИХ ОБЪЕКТОВ
доц. Каргополова К.Ю. 905","лаб.з. Земледелие
Молчанова Н.П., Линьков А.С. 608, 610"
,12.00-13.30,"лаб.з. Земледелие
Молчанова Н.П., Линьков А.С. 608, 610","лаб.з. Плодоводство
Лялина Е.В., Руденко А.С. 430","лаб.з. Препарирование биологических объектов
Каргаполова К.Ю, Денисова А.Ю. 905, 903","лек. КАРТОГРАФИЯ ПОЧВ
доц. Трухина Е.Н. 535"
,13.40-15.10,лек.МИКРООРГАНИЗМЫ И ПЛОДОРОДИЕ ПОЧВ доц.Молчанова Н.П. 608,"лаб.з. Зоология
Критская Е.Е., Руденко А.С. 424",,"пр. з. Картография почв
Трухина Е.Н., Дормидонтова Н.В. 1009, 1008"
,,,,,
,15.20-16.50,,,,
"к
и
н
р
о
т
В",8.30-10.00,"лаб.з. Техническое обеспечение растениеводства
Сураев Д.В., Преймак С.А., Линьков А.С. 135, 133","лаб.з. Генетика
Денисова А.Ю., Каргополова К.Ю. 905, 903","пр.з. Правоведение
Корышева М.В. 510",
,10.10-11.40,лек. ГЕНЕТИКА ГЕНЕТИКА ГЕНЕТИКА доц. Беляева А.А. 702,,,"пр.з. Правоведение
Корышева М.В. 345"
,12.00-13.30,"пр.з. Общая физическая подготовка
Фролова Л.В.","пр.з. Общая физическая подготовка
Кузьмин А.М.","пр.з. Общая физическая подготовка
Наумова М.А.","лек. ХИМИЯ ФИЗИЧЕСКАЯ И КОЛЛОИДНАЯ
доц. Логачева Е.В. 349"
,13.40-15.10,"лаб.з. Плодоводство
Лялина Е.В., Руденко А.С. 430","пр.з. Правоведение
Паницков А.С. 253","лаб.з. Цитология
Каргополова К.Ю., Денисова А.Ю. 903, 905","пр.з. Общая физическая подготовка
Фролова Л.В."
,15.20-16.50,,,,
"а
д
е
р
С",8.30-10.00,"лек. ТЕХНИЧЕСКОЕ ОБЕСПЕЧЕНИЕ РАСТЕНИЕВОДСТВА
доц. Сураев Д.В. 133","лек. ФИТОПАТОЛОГИЯ
доц. Лялина Е.В. 430","лаб.з. Плодоводство
Руденко А.С., Еськов И.Д. 424","лаб.з. Химия физическая и коллоидная
Логачева Е.В., Романова Л.Р. 349, 347"
,10.10-11.40,лек. ХИМИЯ ХИМИЯ ХИМИЯ ХИМИЯ доц. Логачева Е.В. 432,,,"лек.МИКРООРГАНИЗМЫ И ПЛОДОРОДИЕ ПОЧВ
доц.Молчанова Н.П. 608"
,12.00-13.30,длек. ПЛОДОВОДСТВО ПЛОДОВОДСТВО ПЛОДОВОДСТВО доц. Лялина Е.В. 432,,,"лаб.з. Микроорганизмы и плодородие почвы
Молчанова Н.П., Линьков А.С., Сугробов 608, 610"
,13.40-15.10,лек. ЗЕМЛЕДЕЛИЕ ЗЕМЛЕДЕЛИЕ ЗЕМЛЕДЕЛИЕ ЗЕМЛЕДЕЛИЕ доц. Линьков А.С. 251,,,
,15.20-16.50,,,,
"г
р
е
в
т
е
Ч",8.30-10.00,,,"лаб.з. Химия
Логачева Л.Р., Величко Н.С. 347, 349",
,,,,,лек. СОЦИОЛОГИЯ доц. Булгаков С.В. 432
,10.10-11.40,"лаб.з. Микроорганизмы и плодородие почвы
Молчанова Н.П., Солодовников А.П. 608, 603","лаб.з. Химия
Логачева Л.Р., Величко Н.С. 347, 349","лаб.з. Генетика
Денисова А.Ю., Каргополова К.Ю. 905,903",пр.з. Социология Булгаков 803
,,,,,лек. БИОГЕОХИМИЯ ЛАНДШАФТОВ доц. Шевченко Е.Н. 329
,12.00-13.30,"лаб.з. Химия
Логачева Л.Р., Величко Н.С. 347, 349","лаб.з. Фитопатология
Лялина Е.В., Зюкова О.А., Новиков Ю.П., Сушков А.А. 430","лаб.з. Земледелие
Солодовников А.П., Молчанова Н.П. 603, 610",лек. БИОГЕОХИМИЯ ЛАНДШАФТОВ доц. Шевченко Е.Н. 336
,,,,,пр.з. Общая физическая подготовка Фролова Л.В.
,13.40-15.10,пр.з. Общая физическая подготовка Фролова Л.В.,пр.з. Общая физическая подготовка Кузьмин А.М.,пр.з. Общая физическая подготовка Наумова М.А.,пр.з. Экодиагностика Гулина Е.В. 329
,,лек. ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ ПРАВОВЕДЕНИЕ доц. Корышева М.В. 422,,,
,15.20-16.50,"лаб.з. Генетика
Денисова А.Ю., Каргополова К.Ю. 905, 903",,,
"а
ц
и
н
т
я
П",8.30-10.00,пр.з. Социология Дудникова Е.Б. 253,,,"лаб. з. Биогеохимия ландшафтов
Гулина Е.В. , Пономарева А.Л. 329, 338"
,,,пр.з. Социология Дудникова Е.Б. 253,,
,10.10-11.40,лек. СОЦИОЛОГИЯ СОЦИОЛОГИЯ СОЦИОЛОГИЯ проф. Дудникова Е.Б. 432,,,лек. ЭКОДИАГНОСТИКА доц. Шевченко Е.Н. 329
,,лек.СОРНЫЕ РАСТ. И МЕРЫ БОРЬБЫ С НИМИ доц.Летучий А.В. 603,лек. ЗООЛОГИЯ доц. Критская Е.Е. 430,пр.з. Социология Дудникова Е.Б. 253,пр.з. Экодиагностика Гулина Е.В. 329
,12.00-13.30,"лаб.з. Сорные растения и меры борьбы с ними
Сураев Д.В., Сугробов 603, 608",пр.з. Агротоксикология Суминова Н.Б. 351,"лаб.з. Основы эволлюции
Степанова Н.В., Денисова А.Ю. 712, 708",пр. з. Менеджмент Ларионова Н.Г. 343
,,,лек. АГРОТОКСИКОЛОГИЯ доц. Суминова Н.Б. 351,,лек. МЕНЕДЖМЕНТ доц. Ларионова Н.Г. 343
,13.40-15.10,,"лаб.з. Земледелие
Сураев Д.В., Линьков А.С. 608, 610",лек. ОСНОВЫ ЭВОЛЮЦИИ доц. Степанова Н.В. 905,
,,,,лек. ЦИТОЛОГИЯ доц. Каргополова К.Ю. 903,
,15.20-16.50,,,,
"а
т
о
б
б
у
С",8.30-10.00,,,,
,10.10-11.40,,,,
,,,,,
