column_0,"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_2,column_3
,Дни,Часы,Б-ЛД-21
,"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П
6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"ЭКЗАМЕН ИНФОРМАТИКА
доц. Пахомова Т.В. ауд. 533"
,,15.20-16.50,
,,17.00-18.30,"лаб. з. ЛЕСОВЕДЕНИЕ
Филиппов П.В. ауд. 249"
,,08.30-10.00,"пр. з. РУССКИЙ ЯЗЫК И КУЛЬТУРА РЕЧИ
доц. Любезнова Н.В. ауд. 501а"
,,10.10-11.40,"пр. з. РУССКИЙ ЯЗЫК И КУЛЬТУРА РЕЧИ
доц. Любезнова Н.В. ауд. 501а"
,,12.00-13.30,"ЭКЗАМЕН РУССКИЙ ЯЗЫК И КУЛЬТУРА РЕЧИ
доц. Любезнова Н.В. ауд. 425"
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,"лаб. з. ЛЕСОВЕДЕНИЕ
Филиппов П.В. ауд. 249"
,,15.20-16.50,"ЭКЗАМЕН ЛЕСОВЕДЕНИЕ
доц. Заигралова Г.Н. ауд. 249"
,,17.00-18.30,
,"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,"ЭКЗАМЕН ИНОСТРАННЫЙ ЯЗЫК
доц. Мизюрова Э.Ю., доц. Завьялова М.С. ауд. 510а, 516"
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,"ЭКЗАМЕН ФИЛОСОФИЯ
доц. Шалаева Н.В. ауд. 402"
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,15.20-16.50,
,,17.00-18.30,
,"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,,10.10-11.40,
,,12.00-13.30,
,,13.40-15.10,
,,,
