"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ТТ-21,Б-ТТ-22
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,,
,10.10-11.40,,"ЭКЗАМЕН ФИЛОСОФИЯ
ст. преп. Антипова Е.А. ауд. 402"
,12.00-13.30,,
,13.40-15.10,"пр. з. МАТЕМАТИКА
ст. преп. Пащенко Е.А. ауд. 244",
,15.20-16.50,"пр. з. МАТЕМАТИКА
ст. преп. Пащенко Е.А. ауд. 253",
,17.00-18.30,,
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,,
,10.10-11.40,"ЭКЗАМЕН МАТЕМАТИКА
доц. Буйлов В.Н. ауд. 244",
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,,
,10.10-11.40,"ЭКЗАМЕН ТЕХНИЧЕСКАЯ ТЕРМОДИНАМИКА
доц. Панкова Т.А. ауд. 110",
,12.00-13.30,,
,13.40-15.10,,"ЭКЗАМЕН ТЕХНИЧЕСКАЯ ТЕРМОДИНАМИКА
доц. Панкова Т.А. ауд. 110"
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,,"ЭКЗАМЕН МАТЕМАТИКА
доц. Буйлов В.Н. ауд. 253"
,10.10-11.40,"ЭКЗАМЕН ФИЛОСОФИЯ
ст. преп. Антипова Е.А. ауд. 248",
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,,
,10.10-11.40,,"ЭКЗАМЕН ИСТОРИЯ РОССИИ
доц. Федорова-Кузнецова И.В. ауд. 202"
,12.00-13.30,,
,13.40-15.10,"ЭКЗАМЕН ИСТОРИЯ РОССИИ
доц. Федорова-Кузнецова И.В. ауд. 202",
,15.20-16.50,,
,17.00-18.30,,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,,,
