"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ЭиЭ-21,Б-ЭиЭ-22
,08.30-10.00,ЭКЗАМЕН ФИЛОСОФИЯ,
"6
2
0
2
.
4
0
.
3
1
к",10.10-11.40,доц. Крайнов А.Л. ауд. 238,
,12.00-13.30,,
"и
н
ь
л
е",13.40-15.10,,
"д
е
н
о
П",15.20-16.50,,доц. Ершов А.С. ауд. 531
,17.00-18.30,,
"6
2
0
2
.
4
0
.
4",08.30-10.00,,
,10.10-11.40,"пр. з ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Измайлова Ю.М. ауд. 402","пр. з. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Капичников А.И. ауд. 402"
,12.00-13.30,"пр. з ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Измайлова Ю.М. ауд. 531","пр. з. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Капичников А.И. ауд. 531"
"1
к
и
н
р
о",13.40-15.10,ЭКЗАМЕН ПРОГРАММИРОВАНИЕ И ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ,"пр. з. ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Капичников А.И. ауд. 202"
"т
В",15.20-16.50,доц. Ершов А.С. ауд. 520,
,17.00-18.30,,доц. Крайнов А.Л. ауд. 248
"6
2
0
2
.
4
0
.",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"5
1
а
д
е",13.40-15.10,ЭКЗАМЕН ИСТОРИЯ РОССИИ,
"р
С",15.20-16.50,доц. Поздникин А.А. Учебный комплекс №3 ауд. С-208,доц. Левин М.А. ауд. 300
,17.00-18.30,,
"6
2
0",08.30-10.00,,
,10.10-11.40,,
"2
.
4
0
.
6",12.00-13.30,ЭКЗАМЕН ИНЖЕНЕРНАЯ ФИЗИКА,
"1
г
р
е
в
т
е
Ч",13.40-15.10,доц. Буйлов В.Н.ауд. 128,
,15.20-16.50,,
,17.00-18.30,,доц. Буйлов В.Н.ауд. 240
"6
2
0
2",08.30-10.00,,
,10.10-11.40,,"ЗАЧЕТ ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ
доц. Измайлова Ю.М. ауд. 238"
".
4
0
.
7
1",12.00-13.30,ЗАЧЕТ ПСИХОЛОГИЯ РАБОТЫ В МАЛЫХ ГРУППАХ,ПЕРЕХОД на Учебный комплек №3
"а
ц
и
н",13.40-15.10,доц. Измайлова Ю.М. ауд. 238,
"т
я
П",15.20-16.50,"ЭКЗАМЕН МОНТАЖ ЭЛЕКТРООБОРУДОВАНИЯ И СРЕДСТВ
АВТОМАТИЗАЦИИ",доц. Поздникин А.А. Учебный комплекс №3 ауд. С-409
,17.00-18.30,доц. Левин М.А. ауд. 400,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,,,
