"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-АИ-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,"пр. з. ИНЖЕНЕРНЫЕ РАСЧЕТЫ МАШИН И ОБОРУДОВАНИЯ В ТЕХНИЧЕСКОМ СЕРВИСЕ
проф. Чекмарев В.В. ауд. 118"
,10.10-11.40,"пр. з. ИНЖЕНЕРНЫЕ РАСЧЕТЫ МАШИН И ОБОРУДОВАНИЯ В ТЕХНИЧЕСКОМ СЕРВИСЕ
проф. Чекмарев В.В. ауд. 118"
,12.00-13.30,"пр. з. ИНЖЕНЕРНЫЕ РАСЧЕТЫ МАШИН И ОБОРУДОВАНИЯ В ТЕХНИЧЕСКОМ СЕРВИСЕ
проф. Чекмарев В.В. ауд. 117"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,"лаб. з. ОСОБЕННОСТИ ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ И РЕМОНТА ИМПОРТНЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ МАШИН
Исмаилов И.С. ауд. 248"
,12.00-13.30,"лаб. з. ОСОБЕННОСТИ ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ И РЕМОНТА ИМПОРТНЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ МАШИН
Исмаилов И.С. ауд. 122"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН УПРАВЛЕНИЕ НАДЕЖНОСТЬЮ МАШИН В АГРОЭНЖЕНЕРИИ
доц. Горбушин П.А. ауд. 140"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН МЕТОДЫ И ТЕХНИЧЕСКИЕ СРЕДСТВА ДИАГНОСТИКИ СЕЛЬСКОХОЗЯЙСТВЕННОЙ ТЕХНИКИ
доц. Комаров Ю.В. ауд. 117"
,17.00-18.30,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН ИНЖЕНЕРНЫЕ РАСЧЕТЫ МАШИН И ОБОРУДОВАНИЯ В ТЕХНИЧЕСКОМ СЕРВИСЕ
проф. Чекмарев В.В. ауд. 117"
,17.00-18.30,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН ОСОБЕННОСТИ ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ И РЕМОНТА ИМПОРТНЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ МАШИН
доц. Шишурин С.А. ауд. 118"
,12.00-13.30,
,13.40-15.10,
,,
