"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ЛД-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"лек. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 307"
,17.00-18.30,"лаб. з. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 307"
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,"лаб. з. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 239"
,10.10-11.40,"лаб. з. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 239"
,12.00-13.30,"лаб. з. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 118"
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН ОПТИМИЗАЦИЯ МНОГОЦЕЛЕВОГО ЛЕСОПОЛЬЗОВАНИЯ
доц. КозаченкоМ.А. ауд. 307"
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,"лаб. з. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 238"
,12.00-13.30,"лаб. з. ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 202"
,13.40-15.10,"ЭКЗАМЕН ПРИРОДНЫЕ И АНТРОПОГЕННЫЕ ФАКТОРЫ ГОРИМОСТИ ЛЕСОВ
доц. КозаченкоМ.А. ауд. 202"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П
6",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН ОРГАНИЗАЦИЯ КОМПЛЕКСНОГО ВЕДЕНИЯ ЛЕСНОГО И ОХОТНЕЧЬЕГО ХОЗЯЙСТВА
доц. КозаченкоМ.А. ауд. 405"
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН ПРОЕКТНО-СМЕТНАЯ ДЕЯТЕЛЬНОСТЬ В ЛЕСНОМ, ЛЕСОПАРКОВОМ И ОХОТНИЧЬЕМ ХОЗЯЙСТВЕ
доц. КозаченкоМ.А. ауд. 239"
,12.00-13.30,
,13.40-15.10,
,,
