"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-НТК-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН ОРГАНИЗАЦИЯ РАБОТ ПО ТЕХНИЧЕСКОМУ СЕРВИСУ АВТОМОБИЛЕЙ, ТРАКТОРОВ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСОВ И ИХ
КОМПОНЕНТОВ
доц. Колганов Д.А. ауд. 208"
,12.00-13.30,
,13.40-15.10,"пр. з. ТЕХНОЛОГИЯ ПРОИЗВОДСТВА АВТОМОБИЛЕЙ, ТРАКТОРОВ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСОВ
доц. Кабанов О.В. ауд. 208"
,15.20-16.50,"пр. з. ТЕХНОЛОГИЯ ПРОИЗВОДСТВА АВТОМОБИЛЕЙ, ТРАКТОРОВ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСОВ
доц. Кабанов О.В. ауд. 206"
,17.00-18.30,
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,"ЭКЗАМЕН ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ В МЕХАТРОНИКЕ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСАХ
проф. Панкин К.Е. ауд. 123"
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН КОНСТРУИРОВАНИЕ И РАСЧЕТ АВТОМОБИЛЕЙ, ТРАКТОРОВ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСОВ
доц. Кабанов О.В. ауд. 123"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ИССЛЕДОВАНИЯ И ИСПЫТАНИЯ АВТОМОБИЛЕЙ, ТРАКТОРОВ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСОВ
доц. Русинов А.В. ауд. 208"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН ТЕХНОЛОГИЯ ПРОИЗВОДСТВА АВТОМОБИЛЕЙ, ТРАКТОРОВ И РОБОТИЗИРОВАННЫХ ТЕХНИЧЕСКИХ КОМПЛЕКСОВ
доц. Кабанов О.В. ауд. 125"
,17.00-18.30,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
