"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ПВ-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр. з ЭКСПЛУАТАЦИЯ СООРУЖЕНИЙ СИСТЕМ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Михеева О.В. ауд. 501а"
,15.20-16.50,"пр. з ЭКСПЛУАТАЦИЯ СООРУЖЕНИЙ СИСТЕМ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Михеева О.В. ауд. 501а"
,17.00-18.30,"пр. з ЭКСПЛУАТАЦИЯ СООРУЖЕНИЙ СИСТЕМ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Михеева О.В. ауд. 501а"
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,"пр. з. УПРАВЛЕНИЕ ПРИРОДНО-ТЕХНОГЕННЫМИ КОМПЛЕКСАМИ
доц. Трушин Ю.Е. ауд. 505"
,12.00-13.30,"ЗАЧЕТ УПРАВЛЕНИЕ ПРИРОДНО-ТЕХНОГЕННЫМИ КОМПЛЕКСАМИ
проф. Корсак В.В. ауд. 505"
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ПРИБОРЫ КОНТРОЛЯ И СРЕДСТВА ДИАГНОСТИКИ ПАРАМЕТРОВ ОБЪЕКТОВ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Аржанухина Е.В. ауд. 532"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,"ЭКЗАМЕН НАДЕЖНОСТЬ СООРУЖЕНИЙ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Михеева О.В. ауд. 501а"
,18.40-20.10,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"пр. з. ЭКСПЛУАТАЦИЯ СООРУЖЕНИЙ СИСТЕМ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Михеева О.В. ауд. 503"
,15.20-16.50,"ЭКЗАМЕН ЭКСПЛУАТАЦИЯ СООРУЖЕНИЙ СИСТЕМ ИНЖЕНЕРНОЙ ЗАЩИТЫ
доц. Михеева О.В. ауд. 503"
,17.00-18.30,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
