"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-СТ-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ОЦЕНКА ИННОВАЦИОННОГО ПОТЕНЦИАЛА ПРОЕКТОВ В СТРОИТЕЛЬСТВЕ
доц. Федюнина Т.В. ауд. 505"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН МЕТОДЫ РЕШЕНИЯ НТЗ В СТРОИТЕЛЬСТВЕ
доц. Рукавишников А.А. ауд. 503"
,17.00-18.30,
,08.30-10.00,
"6
2
0
2",10.10-11.40,
".
4
0
.
6
1
г
р
е
в
т
е
Ч",12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН РАЗРАБОТКА ТЕХНИЧЕСКИХ ПРОЕКТОВ С ИСПОЛЬЗОВАНИЕМ САПР
доц. Рукавишников А.А. ауд. 503"
,17.00-18.30,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П
6",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
"2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
