"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,С-НТС-21,С-НТС-22
"6
2
0
2
.
4
0
.
3
1
к
и",08.30-10.00,"пр. з. ПРИКЛАДНАЯ МАТЕМАТИКА
ст. преп. Пащенко Е.А. ауд. 253",
,10.10-11.40,"ЗАЧЕТ ПРИКЛАДНАЯ МАТЕМАТИКА
доц. Буйлов В.Н. ауд. 253","пр. з. ПРИКЛАДНАЯ МАТЕМАТИКА
ст. преп. Пащенко Е.А. ауд. 128"
,12.00-13.30,,"пр. з. ПРИКЛАДНАЯ МАТЕМАТИКА
ст. преп. Пащенко Е.А. ауд. 128"
"н
ь
л
е
д",13.40-15.10,,
"е
н
о
П",15.20-16.50,,доц. Буйлов В.Н. ауд. 128
,17.00-18.30,,
,08.30-10.00,,
,10.10-11.40,,
"6
2
0
2
.
4
0",12.00-13.30,ЭКЗАМЕН ТЕОРЕТИЧЕСКАЯ МЕХАНИКА,
".
4
1
к
и
н
р
о
т
В",13.40-15.10,доц. Левченко Г.В. ауд. 431,доц. Надежкина Г.П. ауд. 107
,15.20-16.50,,"пр. з. УПРАВЛЕНИЕ ПРОЕКТАМИ
доц. Ерюшев М.В. ауд. 307"
,17.00-18.30,,
,18.40-20.10,,доц. Ерюшев М.В. ауд. 307
"6
2
0
2
.
4
0
.",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
"5
1
а
д
е",13.40-15.10,ЭКЗАМЕН ИНЖЕНЕРНАЯ ФИЗИКА,
"р
С",15.20-16.50,доц. Буйлов В.Н. ауд. 240,"доц. Зотеева Т.С. доц. Завьялова М.С. ауд. 512, 516"
,17.00-18.30,,
,08.30-10.00,,
"6
2
0",10.10-11.40,,доц. Шалаева Н.В. ауд. 402
"2
.
4
0
.
6
1",12.00-13.30,ЭКЗАМЕН ФИЛОСОФИЯ,
"г
р
е
в
т
е
Ч",13.40-15.10,доц. Шалаева Н.В. ауд. 402,
,15.20-16.50,,
,17.00-18.30,,
,08.30-10.00,ЭКЗАМЕН ИНОСТРАННЫЙ ЯЗЫК,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н",10.10-11.40,"доц. Зотеева Т.С. доц. Завьялова М.С. ауд. 512, 516",
,12.00-13.30,,
,13.40-15.10,,
"т
я
П",15.20-16.50,,
,17.00-18.30,,доц. Буйлов В.Н. ауд. 240
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,,
,10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,,
,,,
