"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,Б-ЛА-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П
6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН ФИЛОСОФИЯ
проф. Дудникова Е.Б. ауд. 402"
,17.00-18.30,
,08.30-10.00,
,10.10-11.40,
,12.00-13.30,"лаб. з. ДЕКОРАТИВНАЯ ДЕНДРОЛОГИЯ
асс. Филиппов П.В. ауд. ГЛ-4"
,13.40-15.10,"лаб. з. ДЕКОРАТИВНАЯ ДЕНДРОЛОГИЯ
асс. Филиппов П.В. ауд. ГЛ-4"
,15.20-16.50,"ЭКЗАМЕН ДЕКОРАТИВНАЯ ДЕНДРОЛОГИЯ
доц. Заигралова Г.Н. ауд. ГЛ-4"
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,"ЭКЗАМЕН РУССКИЙ ЯЗЫК И КУЛЬТУРА РЕЧИ
доц. Выходцева И.С. ауд. 249"
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"пр. з. ФИЗИКА
доц. Везиров А.О. ауд. 244"
,17.00-18.30,"ЭКЗАМЕН ЭКОЛОГИЯ
доц. Сагатов М.А. ауд. 132"
,18.40-20.10,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр. з. ФИЗИКА
доц. Везиров А.О. ауд. 134"
,13.40-15.10,"ЭКЗАМЕН ФИЗИКА
доц. Буйлов В.Н. ауд. 244"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,,
