"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ЛА-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЗАЧЕТ РЕСТАВРАЦИЯ И РЕКОНСТРУКЦИЯ ОБЪЕКТОВ ЛАНДШАФНОЙ АРХИТЕКТУРЫ
проф. Сокольская О.Б. ауд. 239"
,15.20-16.50,"пр. з. НОРМАТИВНОЕ ОБЕСПЕЧЕНИЕ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ
доц. Андрушко Т.А. ауд. 239"
,17.00-18.30,"пр. з. НОРМАТИВНОЕ ОБЕСПЕЧЕНИЕ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ
доц. Андрушко Т.А. ауд. 239"
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ДЕКОРАТИВНОГО РАСТЕНИЕВОДСТВА
доц. Маштаков Д.А. ауд. 239"
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЗАЧЕТ НОРМАТИВНОЕ ОБЕСПЕЧЕНИЕ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ
доц. Андрушко Т.А. ауд. 239"
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН СОВРЕМЕННЫЕ АСПЕКТЫ ЛАНДШАФТНОГО ПРОЕКТИРОВАНИЯ
доц. Андрушко Т.А. ауд. 249"
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
,18.40-20.10,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,"ЭКЗАМЕН СОВРЕМЕННЫЕ ТЕХНОЛОГИИ В СТРОИТЕЛЬСТВЕ И ЭКСПЛУАТАЦИИ ОБЪЕКТОВ ЛАНДШАФТНОЙ АРХИТЕКТУРЫ
доц. Иванова А.И. ауд. 239"
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
