"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,С-ПБ-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"ЭКЗАМЕН ФИЛОСОФИЯ
проф. Дудникова Е.Б. ауд. 402"
,13.40-15.10,
,15.20-16.50,"пр. з. СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Макаров С.А. ауд. 40"
,17.00-18.30,"пр. з. СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Макаров С.А. ауд. 40"
,18.40-20.10,"пр. з. СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Макаров С.А. ауд. 40"
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,
,12.00-13.30,"пр. з. СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Макаров С.А. ауд. 40"
,13.40-15.10,"ЭКЗАМЕН СОПРОТИВЛЕНИЕ МАТЕРИАЛОВ
доц. Васильчиков В.В. ауд. 40"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,"ЭКЗАМЕН ИСТОРИЯ РОССИИ
доц. Поздникин А.А. учебный комплекс №3 ауд. С-208"
,18.40-20.10,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ДЕТАЛИ МАШИН
проф. Павлов П.И. ауд. 431"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,"ЭКЗАМЕН БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ
доц. Ивченко О.А. ауд. 208"
,17.00-18.30,
"6
2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
