"Расписание занятий
на 2 семестр 2025-2026 учебого года
института инженерии и робототехники 2 курс",column_1,column_2
Дни,Часы,М-ТЛ-21
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь
л
е
д
е
н
о
П",08.30-10.00,
,10.10-11.40,"лаб. з. ТЕХНИЧЕСКАЯ ЭКСПЛУАТАЦИЯ ОБОРУДОВАНИЯ И ИНСТРУМЕНТА ДЛЯ ОБРАБОТКИ ДРЕВЕСИНЫ
доц. Колганов Д.А. ауд. 521"
,12.00-13.30,"лаб. з. ТЕХНИЧЕСКАЯ ЭКСПЛУАТАЦИЯ ОБОРУДОВАНИЯ И ИНСТРУМЕНТА ДЛЯ ОБРАБОТКИ ДРЕВЕСИНЫ
доц. Колганов Д.А. ауд. 521"
,13.40-15.10,"ЭКЗАМЕН ДЕРЕВООБРАБАТЫВАЮЩЕЕ ОБОРУДОВАНИЕ С ЧПУ
доц. Колганов Д.А. ауд. 521"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
4
1
к
и
н
р
о
т
В",08.30-10.00,
,10.10-11.40,"ЭКЗАМЕН СЕРТИФИКАЦИЯ ИЗДЕЛИЙ ИЗ ДРЕВЕСИНЫ
доц. Надежкина Г.П. ауд. 327"
,12.00-13.30,
,13.40-15.10,
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
5
1
а
д
е
р
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ТЕОРИЯ И ТЕХНОЛОГИЯ РАСКРОЯ ДРЕВЕСИНЫ
доц. Колганов Д.А. ауд. 521"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН ТЕХНИЧЕСКАЯ ЭКСПЛУАТАЦИЯ ОБОРУДОВАНИЯ И ИНСТРУМЕНТА ДЛЯ ОБРАБОТКИ ДРЕВЕСИНЫ
доц. Колганов Д.А. ауд. 521"
,15.20-16.50,
,17.00-18.30,
"6
2
0
2
.
4
0
.
7
1
а
ц
и
н
т
я
П
6","18.40-20.10
08.30-10.00",
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,"ЭКЗАМЕН УПРАВЛЕНИЕ КАЧЕСТВОМ ПРОДУКЦИИ И ПРОЦЕССОВ ДЕРЕВООБРАБАТЫВАЮЩИХ ПРОИЗВОДСТВ
доц. Надежкина Г.П. ауд. 327"
,15.20-16.50,
,17.00-18.30,
"2
0
2
.
4
0
.
8
1
а
т
о
б
б
у
С",08.30-10.00,
,10.10-11.40,
,12.00-13.30,
,13.40-15.10,
,,
