"Расписание занятий
на 2 семестр 2025-2026 учебного года
институт инженерии и робототехники 2 курс",column_1,column_2,column_3
Дни,Часы,Б-ПИ-21,Б-ПИ-22
"6
2
0
2
.
4
0
.
3
1
к
и
н
ь",08.30-10.00,,
,10.10-11.40,,"пр. з БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ
доц. Удалова О.Г. ауд. 503"
,12.00-13.30,,"ЗАЧЕТ БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ
доц. Удалова О.Г. ауд. 503"
,13.40-15.10,"пр. з БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ
доц. Удалова О.Г. ауд. 208",
"л
е
д
е
н
о",15.20-16.50,"ЗАЧЕТ БЕЗОПАСНОСТЬ ЖИЗНЕДЕЯТЕЛЬНОСТИ
доц. Удалова О.Г. ауд. 208",
П,17.00-18.30,ЭКЗАМЕН ФИЛОСОФИЯ,доц. Кочегарова О.С. ауд. 132
,18.40-20.10,доц. Крайнов ауд. 238,
"6
2",08.30-10.00,"пр. з. ЭКОНОМИЧЕСКАЯ КУЛЬТУРА
асс. Ерзова П.И., доц. Уколова Н.В. ауд. 107",
,10.10-11.40,"ЗАЧЕТ ЭКОНОМИЧЕСКАЯ КУЛЬТУРА
доц. Васильева О.А., доц. Уколова Н.В. ауд. 107",
"0
2
.
4
0
.
4
1",12.00-13.30,ЭКЗАМЕН ВЫСШАЯ МАТЕМАТИКА,"пр. з. ЭКОНОМИЧЕСКАЯ КУЛЬТУРА
асс. Ерзова П.И., доц. Уколова Н.В. ауд. 529"
"к
и
н
р
о",13.40-15.10,доц. Кочегарова О.С. ауд. 522,
"т
В",15.20-16.50,,доц.Евстафьев Д.П. Кванториум
,17.00-18.30,,"лаб. з. БАЗЫ ДАННЫХ
асс. Моршнев А.Ю. Кванториум"
"6
2
0
2
.
4
0
.",08.30-10.00,,
,10.10-11.40,"ЗАЧЕТ АРХИТЕКТУРА КОМПЬЮТЕРА И ОПЕРАЦИОННОЙ СИСТЕМЫ
доц. Азизов И.Р. ауд. 533",
,12.00-13.30,,"ЗАЧЕТ АРХИТЕКТУРА КОМПЬЮТЕРА И ОПЕРАЦИОННОЙ СИСТЕМЫ
доц. Азизов И.Р. ауд. 533"
"5
1
а
д
е
р",13.40-15.10,ЭКЗАМЕН ТЕОРИЯ ИНФОРМАЦИИ,
С,15.20-16.50,"доц.Евстафьев Д.П. ауд. 533, 531",доц. Федорова-Кузнецова И.В. ауд. 248
,17.00-18.30,,
,08.30-10.00,,
"6
2
0
2
.
4
0
.
6
1
г
р
е
в
т
е
Ч",10.10-11.40,,
,12.00-13.30,,
,13.40-15.10,,
,15.20-16.50,ЭКЗАМЕН ИНОСТРАННЫЙ ЯЗЫК,
,17.00-18.30,"доц. Мизюрова Э.Ю., доц. Завьялова М.С. ауд. 510а, 516",доц. Крайнов ауд. 238
"6
2
0
2
.
4
0
.
7",08.30-10.00,,
,10.10-11.40,,"ЗАЧЕТ ЭКОНОМИЧЕСКАЯ КУЛЬТУРА
доц. Васильева О.А., доц. Уколова Н.В. ауд. 249"
,12.00-13.30,"лаб. з. БАЗЫ ДАННЫХ
доц. Косарев А.В. ауд. 531",
"1
а
ц
и
н",13.40-15.10,,
"т
я
П",15.20-16.50,ЭКЗАМЕН ИСТОРИЯ РОССИИ,"доц. Мизюрова Э.Ю., доц. Завьялова М.С. ауд. 510а, 516"
,17.00-18.30,доц. Федорова-Кузнецова И.В. ауд. 402,
6,08.30-10.00,ЭКЗАМЕН БАЗЫ ДАННЫХ,"лаб. з. БАЗЫ ДАННЫХ
асс. Моршнев А.Ю. ауд. 522"
"2
0
2
.
4
0",10.10-11.40,доц. Косарев А.В. ауд. 520,"лаб. з. БАЗЫ ДАННЫХ
асс. Моршнев А.Ю. ауд. 522"
".
8
1
а
т",12.00-13.30,,
"о
б
б
у
С",13.40-15.10,,доц. Косарев А.В. ауд. 522
,15.20-16.50,,
,,,
